"X","ï..OID_","sit_d","trns_","date","crw_n","year","pnt_n","crd_q","wtr__","bttm_","sbst_","org__","unvg_","ttl__","stn__","dtrt_","varbl","Hyd__","Phrgmts_st","Phrgmts__1","Typh_n","Typh_g","Typh_l","Typ__","typh_","st_nm","conty","crw_c","obsrv","qa_dn","qr_fl","berng","wdth_md","wdth_mr","wdth_s","cmmnt","NEAR_FID","NEAR_DIST","MeanFetch","SD_Fetch","MeanREI","SD_REI","UTM_X","UTM_Y","EFB_cover","typ_cover","hyd_bin"
58,57,1275,2,"7/25/2019","CMU",2019,3,"Confirmed",70,"NV","Cly/Slt",16,64,36,5,100,"percent_cover",0,0,0,0,0.5,0,0,0.5,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,64,13,0,39,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,2019.51381583,0,0,0,0,562139.735864125,4940591.16982039,0,0.005,0
59,58,1275,2,"7/25/2019","CMU",2019,5,"Confirmed",86,"NV","Cly/Slt",25,93,7,45,100,"percent_cover",0,0,0,0,0.5,0,0,0.5,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,64,13,0,39,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,2021.14576228,0,0,0,0,562144.012762846,4940591.98851774,0,0.005,0
67,66,1275,3,"7/25/2019","CMU",2019,1,"Confirmed",0,"Dry","Cly/Slt",29,15,85,35,100,"percent_cover",0,0,0,0,9,0,0,9,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,216,15,0,34,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,1598.68251375,0,0,0,0,561915.033201272,4940946.83771501,0,0.09,0
68,67,1275,3,"7/25/2019","CMU",2019,2,"Confirmed",12,"V","Cly/Slt",18,11,89,19,100,"percent_cover",0,0,0,0,18,0,0,18,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,216,15,0,34,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,1599.52095752,0,0,0,0,561914.332996054,4940945.38684291,0,0.18,0
69,68,1275,3,"7/25/2019","CMU",2019,3,"Confirmed",17,"V","Cly/Slt",23,13,87,33,100,"percent_cover",0,0,0,0,21,2,0,23,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,216,15,0,34,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,1600.47306331,0,0,0,0,561913.318635835,4940943.59969458,0,0.23,0
70,69,1275,3,"7/25/2019","CMU",2019,4,"Confirmed",28,"V","Cly/Slt",17,4,96,11,100,"percent_cover",0,0,0,0,25,0,0,25,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,216,15,0,34,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,1603.25329369,0,0,0,0,561911.694031736,4940939.25163327,0,0.25,0
71,70,1275,3,"7/25/2019","CMU",2019,5,"Confirmed",40,"V","Cly/Slt",31,0,100,3,100,"percent_cover",0,0,0,0,20,0,0,20,"Betsie River Wetland","Benzie","A. Kneisel","A. Kneisel",1,0,216,15,0,34,"T1: No meadow or emergent, T2: No emergent; standing dead in Q5 is dead Alnus incana amd typha, T3: No emergent",191,1603.20549451,0,0,0,0,561910.195153243,4940938.34857164,0,0.2,0
182,181,1306,1,"7/24/2019","CMU",2019,6,"Confirmed",68,"V","Sand",1,2,98,0,100,"percent_cover",0,0,0,0,0.5,0,0,0.5,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,166,4,18,66,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1713.56305043,0,0,0,0,550076.493008149,4799150.79503267,0,0.005,0
183,182,1306,1,"7/24/2019","CMU",2019,7,"Confirmed",75,"V","Sand",6,66,34,1,100,"percent_cover",0,0,0,0,5,0,0,5,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,166,4,18,66,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1713.74328654,0,0,0,0,550077.257831129,4799146.0250507,0,0.05,0
184,183,1306,1,"7/24/2019","CMU",2019,8,"Confirmed",65,"NV","Sand",6,62,38,2,100,"percent_cover",0,0,0,0,7,0,0,7,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,166,4,18,66,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1717.51714964,0,0,0,0,550081.240942745,4799144.49967275,0,0.07,0
